version,  author,             date,                    msg
0.0,      Victor,             2021-01-25 19:08:49,     Added base structure
0.1,      anubishere,         2021-01-26 17:08:02,     Create main.tex
0.2,      anubishere,         2021-01-26 18:21:49,     Update main.tex
0.3,      anubishere,         2021-01-27 19:18:07,     Ongoing progress, SRS
0.4,      anubishere,         2021-01-27 19:20:29,     Create SRS (1).pdf
0.5,      anubishere,         2021-01-27 19:32:45,     Update main.tex
0.6,      david,              2021-01-28 00:46:48,     Added the section "user"
0.7,      david,              2021-01-28 00:49:14,     New PDF
0.8,      anubishere,         2021-01-29 13:37:46,     Update main.tex
0.9,      anubishere,         2021-01-29 13:42:32,     New PDF
0.10,     victor,             2021-01-31 15:08:35,     Initialized version files.

